Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
AddClientIDToOpenIDConnectProvider,Grants permission to add a new client ID (audience) to the list of registered IDs for the specified IAM OpenID Connect (OIDC) provider resource,Write,oidc-provider*,,
AddRoleToInstanceProfile,Grants permission to add an IAM role to the specified instance profile,Write,instance-profile*,,iam:PassRole
AddUserToGroup,Grants permission to add an IAM user to the specified IAM group,Write,group*,,
AttachGroupPolicy,Grants permission to attach a managed policy to the specified IAM group,Permissions management,group*,,
AttachGroupPolicy,Grants permission to attach a managed policy to the specified IAM group,Permissions management,,iam:PolicyARN,
AttachRolePolicy,Grants permission to attach a managed policy to the specified IAM role,Permissions management,role*,,
AttachRolePolicy,Grants permission to attach a managed policy to the specified IAM role,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
AttachUserPolicy,Grants permission to attach a managed policy to the specified IAM user,Permissions management,user*,,
AttachUserPolicy,Grants permission to attach a managed policy to the specified IAM user,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
ChangePassword,Grants permission for an IAM user to to change their own password,Write,user*,,
CreateAccessKey,Grants permission to create access key and secret access key for the specified IAM user,Write,user*,,
CreateAccountAlias,Grants permission to create an alias for your AWS account,Write,,,
CreateGroup,Grants permission to create a new group,Write,group*,,
CreateInstanceProfile,Grants permission to create a new instance profile,Write,instance-profile*,,
CreateInstanceProfile,Grants permission to create a new instance profile,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
CreateLoginProfile,Grants permission to create a password for the specified IAM user,Write,user*,,
CreateOpenIDConnectProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports OpenID Connect (OIDC),Write,oidc-provider*,,
CreateOpenIDConnectProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports OpenID Connect (OIDC),Write,,aws:TagKeys  aws:RequestTag/${TagKey},
CreatePolicy,Grants permission to create a new managed policy,Permissions management,policy*,,
CreatePolicy,Grants permission to create a new managed policy,Permissions management,,aws:TagKeys  aws:RequestTag/${TagKey},
CreatePolicyVersion,Grants permission to create a new version of the specified managed policy,Permissions management,policy*,,
