Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
CancelKeyDeletion,Controls permission to cancel the scheduled deletion of an AWS KMS key,Write,key*,,
CancelKeyDeletion,Controls permission to cancel the scheduled deletion of an AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
ConnectCustomKeyStore,Controls permission to connect or reconnect a custom key store to its associated AWS CloudHSM cluster,Write,,kms:CallerAccount,
CreateAlias,Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys,Write,alias*,,
CreateAlias,Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys,Write,key*,,
CreateAlias,Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys,Write,,kms:CallerAccount  kms:ViaService,
CreateCustomKeyStore,Controls permission to create a custom key store that is associated with an AWS CloudHSM cluster that you own and manage,Write,,kms:CallerAccount,cloudhsm:DescribeClusters  iam:CreateServiceLinkedRole
CreateGrant,Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy,Permissions management,key*,,
CreateGrant,Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy,Permissions management,,kms:CallerAccount  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:GrantConstraintType  kms:GranteePrincipal  kms:GrantIsForAWSResource  kms:GrantOperations  kms:RetiringPrincipal  kms:ViaService,
CreateKey,Controls permission to create an AWS KMS key that can be used to protect data keys and other sensitive information,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  kms:BypassPolicyLockoutSafetyCheck  kms:CallerAccount  kms:KeySpec  kms:KeyUsage  kms:KeyOrigin  kms:MultiRegion  kms:MultiRegionKeyType  kms:ViaService,iam:CreateServiceLinkedRole  kms:PutKeyPolicy  kms:TagResource
Decrypt,Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RecipientAttestation:ImageSha384  kms:RequestAlias  kms:ViaService,
Decrypt,Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key,Write,key*,,
DeleteAlias,Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys,Write,alias*,,
DeleteAlias,Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys,Write,key*,,
DeleteAlias,Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys,Write,,kms:CallerAccount  kms:ViaService,
DeleteCustomKeyStore,Controls permission to delete a custom key store,Write,,kms:CallerAccount,
DeleteImportedKeyMaterial,Controls permission to delete cryptographic material that you imported into an AWS KMS key. This action makes the key unusable,Write,key*,,
DeleteImportedKeyMaterial,Controls permission to delete cryptographic material that you imported into an AWS KMS key. This action makes the key unusable,Write,,kms:CallerAccount  kms:ViaService,
DescribeCustomKeyStores,Controls permission to view detailed information about custom key stores in the account and region,Read,,kms:CallerAccount,
DescribeKey,Controls permission to view detailed information about an AWS KMS key,Read,key*,,
DescribeKey,Controls permission to view detailed information about an AWS KMS key,Read,,kms:CallerAccount  kms:RequestAlias  kms:ViaService,
DisableKey,"Controls permission to disable an AWS KMS key, which prevents it from being used in cryptographic operations",Write,,kms:CallerAccount  kms:ViaService,
DisableKey,"Controls permission to disable an AWS KMS key, which prevents it from being used in cryptographic operations",Write,key*,,
DisableKeyRotation,Controls permission to disable automatic rotation of a customer managed AWS KMS key,Write,key*,,
DisableKeyRotation,Controls permission to disable automatic rotation of a customer managed AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
DisconnectCustomKeyStore,Controls permission to disconnect the custom key store from its associated AWS CloudHSM cluster,Write,,kms:CallerAccount,
EnableKey,Controls permission to change the state of an AWS KMS key to enabled. This allows the KMS key to be used in cryptographic operations,Write,key*,,
EnableKey,Controls permission to change the state of an AWS KMS key to enabled. This allows the KMS key to be used in cryptographic operations,Write,,kms:CallerAccount  kms:ViaService,
EnableKeyRotation,Controls permission to enable automatic rotation of the cryptographic material in an AWS KMS key,Write,key*,,
EnableKeyRotation,Controls permission to enable automatic rotation of the cryptographic material in an AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
Encrypt,Controls permission to use the specified AWS KMS key to encrypt data and data keys,Write,key*,,
Encrypt,Controls permission to use the specified AWS KMS key to encrypt data and data keys,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
GenerateDataKey,Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RecipientAttestation:ImageSha384  kms:RequestAlias  kms:ViaService,
GenerateDataKey,Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS,Write,key*,,
GenerateDataKeyPair,Controls permission to use the AWS KMS key to generate data key pairs,Write,key*,,
GenerateDataKeyPair,Controls permission to use the AWS KMS key to generate data key pairs,Write,,kms:CallerAccount  kms:DataKeyPairSpec  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
GenerateDataKeyPairWithoutPlaintext,"Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy",Write,key*,,
GenerateDataKeyPairWithoutPlaintext,"Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy",Write,,kms:CallerAccount  kms:DataKeyPairSpec  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
GenerateDataKeyWithoutPlaintext,"Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key",Write,key*,,
GenerateDataKeyWithoutPlaintext,"Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key",Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
GenerateMac,Controls permission to use the AWS KMS key to generate message authentication codes,Write,key*,,
GenerateMac,Controls permission to use the AWS KMS key to generate message authentication codes,Write,,kms:CallerAccount  kms:MacAlgorithm  kms:RequestAlias  kms:ViaService,
GenerateRandom,Controls permission to get a cryptographically secure random byte string from AWS KMS,Write,,kms:RecipientAttestation:ImageSha384,
GetKeyPolicy,Controls permission to view the key policy for the specified AWS KMS key,Read,key*,,
GetKeyPolicy,Controls permission to view the key policy for the specified AWS KMS key,Read,,kms:CallerAccount  kms:ViaService,
GetKeyRotationStatus,Controls permission to determine whether automatic key rotation is enabled on the AWS KMS key,Read,,kms:CallerAccount  kms:ViaService,
GetKeyRotationStatus,Controls permission to determine whether automatic key rotation is enabled on the AWS KMS key,Read,key*,,
GetParametersForImport,"Controls permission to get data that is required to import cryptographic material into a customer managed key, including a public key and import token",Read,key*,,
GetParametersForImport,"Controls permission to get data that is required to import cryptographic material into a customer managed key, including a public key and import token",Read,,kms:CallerAccount  kms:ViaService  kms:WrappingAlgorithm  kms:WrappingKeySpec,
GetPublicKey,Controls permission to download the public key of an asymmetric AWS KMS key,Read,key*,,
GetPublicKey,Controls permission to download the public key of an asymmetric AWS KMS key,Read,,kms:CallerAccount  kms:RequestAlias  kms:ViaService,
ImportKeyMaterial,Controls permission to import cryptographic material into an AWS KMS key,Write,key*,,
ImportKeyMaterial,Controls permission to import cryptographic material into an AWS KMS key,Write,,kms:CallerAccount  kms:ExpirationModel  kms:ValidTo  kms:ViaService,
ListAliases,Controls permission to view the aliases that are defined in the account. Aliases are optional friendly names that you can associate with AWS KMS keys,List,,,
ListGrants,Controls permission to view all grants for an AWS KMS key,List,key*,,
ListGrants,Controls permission to view all grants for an AWS KMS key,List,,kms:CallerAccount  kms:GrantIsForAWSResource  kms:ViaService,
ListKeyPolicies,Controls permission to view the names of key policies for an AWS KMS key,List,,kms:CallerAccount  kms:ViaService,
ListKeyPolicies,Controls permission to view the names of key policies for an AWS KMS key,List,key*,,
ListKeys,Controls permission to view the key ID and Amazon Resource Name (ARN) of all AWS KMS keys in the account,List,,,
ListResourceTags,Controls permission to view all tags that are attached to an AWS KMS key,List,key*,,
ListResourceTags,Controls permission to view all tags that are attached to an AWS KMS key,List,,kms:CallerAccount  kms:ViaService,
ListRetirableGrants,Controls permission to view grants in which the specified principal is the retiring principal. Other principals might be able to retire the grant and this principal might be able to retire other grants,List,key*,,
PutKeyPolicy,Controls permission to replace the key policy for the specified AWS KMS key,Permissions management,key*,,
PutKeyPolicy,Controls permission to replace the key policy for the specified AWS KMS key,Permissions management,,kms:BypassPolicyLockoutSafetyCheck  kms:CallerAccount  kms:ViaService,
ReEncryptFrom,Controls permission to decrypt data as part of the process that decrypts and reencrypts the data within AWS KMS,Write,key*,,
ReEncryptFrom,Controls permission to decrypt data as part of the process that decrypts and reencrypts the data within AWS KMS,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:ReEncryptOnSameKey  kms:RequestAlias  kms:ViaService,
ReEncryptTo,Controls permission to encrypt data as part of the process that decrypts and reencrypts the data within AWS KMS,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:ReEncryptOnSameKey  kms:RequestAlias  kms:ViaService,
ReEncryptTo,Controls permission to encrypt data as part of the process that decrypts and reencrypts the data within AWS KMS,Write,key*,,
ReplicateKey,Controls permission to replicate a multi-Region primary key,Write,,kms:CallerAccount  kms:ReplicaRegion  kms:ViaService,
ReplicateKey,Controls permission to replicate a multi-Region primary key,Write,key*,,iam:CreateServiceLinkedRole  kms:CreateKey  kms:PutKeyPolicy  kms:TagResource
RetireGrant,Controls permission to retire a grant. The RetireGrant operation is typically called by the grant user after they complete the tasks that the grant allowed them to perform,Permissions management,key*,,
RevokeGrant,"Controls permission to revoke a grant, which denies permission for all operations that depend on the grant",Permissions management,key*,,
RevokeGrant,"Controls permission to revoke a grant, which denies permission for all operations that depend on the grant",Permissions management,,kms:CallerAccount  kms:GrantIsForAWSResource  kms:ViaService,
ScheduleKeyDeletion,Controls permission to schedule deletion of an AWS KMS key,Write,key*,,
ScheduleKeyDeletion,Controls permission to schedule deletion of an AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
Sign,Controls permission to produce a digital signature for a message,Write,key*,,
Sign,Controls permission to produce a digital signature for a message,Write,,kms:CallerAccount  kms:MessageType  kms:RequestAlias  kms:SigningAlgorithm  kms:ViaService,
SynchronizeMultiRegionKey [permission only],Controls access to internal APIs that synchronize multi-Region keys,Write,key*,,
TagResource,Controls permission to create or update tags that are attached to an AWS KMS key,Tagging,key*,,
TagResource,Controls permission to create or update tags that are attached to an AWS KMS key,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys  kms:CallerAccount  kms:ViaService,
UntagResource,Controls permission to delete tags that are attached to an AWS KMS key,Tagging,,aws:TagKeys  kms:CallerAccount  kms:ViaService,
UntagResource,Controls permission to delete tags that are attached to an AWS KMS key,Tagging,key*,,
UpdateAlias,Controls permission to associate an alias with a different AWS KMS key. An alias is an optional friendly name that you can associate with a KMS key,Write,alias*,,
UpdateAlias,Controls permission to associate an alias with a different AWS KMS key. An alias is an optional friendly name that you can associate with a KMS key,Write,key*,,
UpdateAlias,Controls permission to associate an alias with a different AWS KMS key. An alias is an optional friendly name that you can associate with a KMS key,Write,,kms:CallerAccount  kms:ViaService,
UpdateCustomKeyStore,Controls permission to change the properties of a custom key store,Write,,kms:CallerAccount,
UpdateKeyDescription,Controls permission to delete or change the description of an AWS KMS key,Write,key*,,
UpdateKeyDescription,Controls permission to delete or change the description of an AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
UpdatePrimaryRegion,Controls permission to update the primary Region of a multi-Region primary key,Write,key*,,
UpdatePrimaryRegion,Controls permission to update the primary Region of a multi-Region primary key,Write,,kms:CallerAccount  kms:PrimaryRegion  kms:ViaService,
