Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
AbortMultipartUpload,Grants permission to abort a multipart upload,Write,object*,,
AbortMultipartUpload,Grants permission to abort a multipart upload,Write,,s3:DataAccessPointArn  s3:DataAccessPointAccount  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
BypassGovernanceRetention,Grants permission to allow circumvention of governance-mode object retention settings,Permissions management,object*,,
BypassGovernanceRetention,Grants permission to allow circumvention of governance-mode object retention settings,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:RequestObjectTag/<key>  s3:RequestObjectTagKeys  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-acl  s3:x-amz-content-sha256  s3:x-amz-copy-source  s3:x-amz-grant-full-control  s3:x-amz-grant-read  s3:x-amz-grant-read-acp  s3:x-amz-grant-write  s3:x-amz-grant-write-acp  s3:x-amz-metadata-directive  s3:x-amz-server-side-encryption  s3:x-amz-server-side-encryption-aws-kms-key-id  s3:x-amz-storage-class  s3:x-amz-website-redirect-location  s3:object-lock-mode  s3:object-lock-retain-until-date  s3:object-lock-remaining-retention-days  s3:object-lock-legal-hold,
CreateAccessPoint,Grants permission to create a new access point,Write,accesspoint*,,
CreateAccessPoint,Grants permission to create a new access point,Write,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:locationconstraint  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-acl  s3:x-amz-content-sha256,
CreateAccessPointForObjectLambda,Grants permission to create an object lambda enabled accesspoint,Write,objectlambdaaccesspoint*,,
CreateAccessPointForObjectLambda,Grants permission to create an object lambda enabled accesspoint,Write,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
CreateBucket,Grants permission to create a new bucket,Write,bucket*,,
CreateBucket,Grants permission to create a new bucket,Write,,s3:authType  s3:locationconstraint  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-acl  s3:x-amz-content-sha256  s3:x-amz-grant-full-control  s3:x-amz-grant-read  s3:x-amz-grant-read-acp  s3:x-amz-grant-write  s3:x-amz-grant-write-acp  s3:x-amz-object-ownership,
