Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,action*,,
AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,artifact*,,
AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,context*,,
AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,experiment*,,
AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,experiment-trial-component*,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,lineage-group,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-bias-job-definition,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-explainability-job-definition,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-package,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-package-group,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-quality-job-definition,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,monitoring-schedule,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,notebook-instance,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,project,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,processing-job,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,labeling-job,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,studio-lifecycle-config,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,training-job,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,transform-job,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,user-profile,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,workforce,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,workteam,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,pipeline,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,image,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,inference-recommendations-job,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,human-task-ui,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,action,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,algorithm,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,app,,
AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,app-image-config,,
